timestamp,load_value
2024/5/26 19:45,10192.889
2024/5/26 20:00,10326.366
2024/5/26 20:15,10213.124
2024/5/26 20:30,9946.201
2024/5/26 20:45,10093.747
2024/5/26 21:00,10051.627
2024/5/26 21:15,9562.538
2024/5/26 21:30,9085.69
2024/5/26 21:45,8828.034
2024/5/26 22:00,8684.244
2024/5/26 22:15,8485.172
2024/5/26 22:30,8805.807
2024/5/26 22:45,8679.366
2024/5/26 23:00,8487.352
2024/5/26 23:15,8312.418
2024/5/26 23:30,8028.598
2024/5/26 23:45,7729.788
2024/5/27 0:00,6915.236
2024/5/27 0:15,6248.784
2024/5/27 0:30,5934.652
2024/5/27 0:45,6006.822
2024/5/27 1:00,6069.192
2024/5/27 1:15,6127.32
2024/5/27 1:30,6184.416
2024/5/27 1:45,6137.926
2024/5/27 2:00,6162.386
2024/5/27 2:15,6154.548
2024/5/27 2:30,6047.019
2024/5/27 2:45,5898.283
2024/5/27 3:00,6029.983
2024/5/27 3:15,6054.241
2024/5/27 3:30,5978.757
2024/5/27 3:45,5626.507
2024/5/27 4:00,5565.375
2024/5/27 4:15,5684.489
2024/5/27 4:30,5705.082
2024/5/27 4:45,5916.433
2024/5/27 5:00,6011.14
2024/5/27 5:15,5946.822
2024/5/27 5:30,5898.724
2024/5/27 5:45,5822.394
2024/5/27 6:00,5796.514
2024/5/27 6:15,5757.484
2024/5/27 6:30,5738.094
2024/5/27 6:45,5943.269
2024/5/27 7:00,5737.831
2024/5/27 7:15,5804.285
2024/5/27 7:30,6181.806
2024/5/27 7:45,6970.567
2024/5/27 8:00,7435.403
2024/5/27 8:15,7776.656
2024/5/27 8:30,8298.766
2024/5/27 8:45,9084.576
2024/5/27 9:00,10026.639
2024/5/27 9:15,10172.739
2024/5/27 9:30,10086.324
2024/5/27 9:45,10070.743
2024/5/27 10:00,10054.968
2024/5/27 10:15,10152.696
2024/5/27 10:30,10252.004
2024/5/27 10:45,10220.557
2024/5/27 11:00,10270.478
2024/5/27 11:15,10146.535
2024/5/27 11:30,10031.518
2024/5/27 11:45,9147.487
2024/5/27 12:00,8228.548
2024/5/27 12:15,7878.964
2024/5/27 12:30,8092.612
2024/5/27 12:45,8238.192
2024/5/27 13:00,8155.025
2024/5/27 13:15,9207.556
2024/5/27 13:30,9643.958
2024/5/27 13:45,9685.4
2024/5/27 14:00,9895.68
2024/5/27 14:15,9661.038
2024/5/27 14:30,9726.756
2024/5/27 14:45,9995.126
2024/5/27 15:00,9982.264
2024/5/27 15:15,9801.104
2024/5/27 15:30,9957.813
2024/5/27 15:45,9611.95
2024/5/27 16:00,9933.864
2024/5/27 16:15,10307.781
2024/5/27 16:30,10390.807
2024/5/27 16:45,10539.399
2024/5/27 17:00,10343.248
2024/5/27 17:15,10308.92
2024/5/27 17:30,9605.645
2024/5/27 17:45,9218.515
2024/5/27 18:00,9082.97
2024/5/27 18:15,8882.88
2024/5/27 18:30,9096.188
2024/5/27 18:45,9668.11
2024/5/27 19:00,9825.066
2024/5/27 19:15,9403.952
2024/5/27 19:30,9333.863
2024/5/27 19:45,9350.79
2024/5/27 20:00,9357.371
2024/5/27 20:15,9573.291
2024/5/27 20:30,9682.219
2024/5/27 20:45,9746.464
2024/5/27 21:00,9624.84
2024/5/27 21:15,9588.004
2024/5/27 21:30,9404.849
2024/5/27 21:45,8663.373
2024/5/27 22:00,8475.272
2024/5/27 22:15,8357.895
2024/5/27 22:30,8290.133
2024/5/27 22:45,8088.585
2024/5/27 23:00,7974.018
2024/5/27 23:15,8011.958
2024/5/27 23:30,7491.86
2024/5/27 23:45,6548.639
2024/5/28 0:00,5376.197
2024/5/28 0:15,5062.504
2024/5/28 0:30,4985.645
2024/5/28 0:45,4923.135
2024/5/28 1:00,5030.462
2024/5/28 1:15,5197.044
2024/5/28 1:30,5232.322
2024/5/28 1:45,5135.637
2024/5/28 2:00,5193.735
2024/5/28 2:15,5108.599
2024/5/28 2:30,5055.651
2024/5/28 2:45,4980.908
2024/5/28 3:00,5047.255
2024/5/28 3:15,4996.79
2024/5/28 3:30,4982.906
2024/5/28 3:45,4803.708
2024/5/28 4:00,4765.025
2024/5/28 4:15,4758.24
2024/5/28 4:30,4862.872
2024/5/28 4:45,5028.8
2024/5/28 5:00,5019.628
2024/5/28 5:15,5265.236
2024/5/28 5:30,5132.058
2024/5/28 5:45,5107.267
2024/5/28 6:00,5084.577
2024/5/28 6:15,5082.704
2024/5/28 6:30,5018.574
2024/5/28 6:45,5046.417
2024/5/28 7:00,5114.233
2024/5/28 7:15,5141.545
2024/5/28 7:30,5682.353
2024/5/28 7:45,6670.28
2024/5/28 8:00,7195.798
2024/5/28 8:15,7913.183
2024/5/28 8:30,8456.269
2024/5/28 8:45,8598.289
2024/5/28 9:00,8932.982
2024/5/28 9:15,9137.026
2024/5/28 9:30,9488.803
